"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
14,"control","congruent","blue","blue",64,"blue",1,529,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","yellow","red",65,"red",1,803,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","blue","yellow",66,"yellow",1,1176,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",67,"red",1,656,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",68,"blue",1,629,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",69,"yellow",1,1006,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",70,"yellow",1,614,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","red","blue",71,"blue",1,646,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",72,"red",1,596,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",73,"blue",1,733,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",74,"yellow",1,663,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",75,"blue",1,1233,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",76,"yellow",1,594,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","red","blue",77,"blue",1,731,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",78,"red",1,590,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",79,"red",1,611,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","blue","red",80,"red",1,882,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
